,Name der Klinik,Ort,Straße und Hausnummer,PLZ,Geburten gesamt 2022,Anzahl Kaiserschnitte 2022,Kaiserschnitt % 2022,IK,Standortnummer,Latitude,Longitude
66,Heidekreis-Klinikum GmbH Krankenhaus Walsrode,Walsrode,Robert-Koch-Straße  4,29664,1096,389,35,260330203,773225000,52.8591776,9.5869676
67,Städtisches Klinikum Lüneburg gemeinnützige GmbH,Lüneburg,Bögelstraße 1,21339,1785,709,40,260330361,772578000,53.2402219,10.3958656
68,Kreiskrankenhaus Osterholz,Osterholz-Scharmbeck,Am Krankenhaus 4,27711,425,139,33,260330394,771364000,53.2331173,8.7936612
69,AGAPLESION DIAKONIEKLINIKUM ROTENBURG gemeinnützige GmbH,Rotenburg,Elise-Averdieck-Str. 17,27356,1165,387,33,260330452,773303000,53.10522,9.412896
70,Elbe Klinikum Stade,Stade,Bremervörder Straße 111,21682,1205,439,36,260330500,771503000,53.5962617,9.4418748
71,"Aller-Weser-Klinik gGmbH, Krankenhaus Verden",Verden,Eitzer Straße 20,27283,697,193,28,260330566,773344000,52.9140237,9.2319378
72,Krankenhaus Winsen ( Luhe ),Winsen,Friedrich-Lichtenauer-Allee 1,21423,589,211,36,260330599,772482000,53.3505593,10.2001667
73,Helios Klinikum Uelzen GmbH,Uelzen,Hagenskamp 34,29525,620,234,38,260330793,771200000,52.9719771,10.5322858
74,Niels-Stensen-Kliniken Marienhospital Ankum-Bersenbrück GmbH,Ankum,Lingener Straße 11,49577,680,197,29,260340012,771557000,52.5404711,7.8742164
75,"Ubbo-Emmius-Klinik gGmbH, Klinik Aurich",Aurich,Wallinghausener Str. 8 - 12,26603,1312,461,35,260340034,772239000,53.468142,7.4986632
76,Krankenhaus St. Elisabeth gGmbH,Damme,Lindenstraße 3-7,49401,457,151,33,260340272,772953000,52.5209349,8.1942571
77,Klinikum Leer gGmbH,Leer,Augustenstraße 35 - 37,26789,1327,524,39,260340535,772479000,53.2358734,7.4582287
78,Borromäus Hospital Leer gGmbH,Leer,Kirchstraße 61 - 67,26789,948,161,17,260340546,773204000,53.2285183,7.444915
79,Bonifatius Hospital Lingen,Lingen,Wilhelmstraße 13,49808,1391,570,41,260340557,771658000,52.5245781,7.3153083
80,St. Franziskus-Hospital,Lohne,Franziskusstr. 6,49393,504,217,43,260340579,772798000,52.6646184,8.2408797
81,Niels-Stensen-Klinikum Christliches Klinikum Melle,Melle,Engelgarten 3,49324,895,295,33,260340591,771608000,52.1986437,8.3360576
82,Krankenhaus Ludmillenstift,Meppen,Ludmillenstraße 4-6,49716,1057,416,39,260340615,773405000,52.6887165,7.2929998
83,Euregio-Klinik Albert-Schweitzer-Straße GmbH,Nordhorn,Albert-Schweitzer-Str. 10,48527,980,312,32,260340739,771842000,52.4430328,7.0659723
84,Klinikum Oldenburg AöR,Oldenburg,Rahel-Straus-Str. 10,26133,1746,716,41,260340740,771936000,53.111788,8.2171526
85,Evangelisches Krankenhaus Oldenburg,Oldenburg,Steinweg 13 - 17,26122,1564,425,27,260340784,772066000,53.1425951,8.2048916
86,Niels-Stensen-Kliniken Marienhospital Osnabrück,Osnabrück,Bischofsstraße 1,49074,2096,853,41,260340831,771583000,52.2702299,8.0533997
87,Klinikum Osnabrück GmbH,Osnabrück,Am Finkenhügel 1,49076,1492,568,38,260340842,773326000,52.278251,8.002619
88,Hümmling Hospital Sögel gGmbH,Sögel,Mühlenstraße 17,49751,535,214,40,260340933,772177000,52.8435359,7.5195172
89,Friesland Kliniken gGmbH St. Johannes-Hospital,Varel,Bleichenpfad 9,26316,808,243,30,260340977,771998000,53.3919425,8.13958
90,St. Marienhospital Vechta,Vechta,Marienstraße 6-8,49377,1849,758,41,260340988,772818000,52.725453,8.2871627
91,Krankenhaus Johanneum,Wildeshausen,Feldstrasse 1,27793,592,198,33,260341057,771716000,52.8937444,8.4324674
92,Klinikum Wilhelmshaven gGmbH ,Wilhelmshaven,Friedrich-Paffrath-Straße 100,26389,851,267,31,260341080,773203000,53.5457453,8.0828192
93,St. Josefs-Hospital Cloppenburg,Cloppenburg,Krankenhausstraße 13,49661,574,183,32,260341182,772295000,52.8472582,8.0403668
94,Niels-Stensen-Kliniken Franziskus-Hospital Harderberg,Georgsmarienhütte,Alte Rothenfelder Straße 23,49124,654,224,34,260341251,771558000,52.2377674,8.0723288
95,Ammerland-Klinik Westerstede,Westerstede,Lange Straße 38,26655,926,303,33,260341444,772466000,53.2574925,7.9185221
96,Marien Hospital Papenburg Aschendorf gGmbH Standort Papenburg,Papenburg,Hauptkanal rechts 74 - 75,26871,671,216,32,260341616,771524000,53.0835782,7.3901056
97,Klinikum Bremen-Mitte,Bremen,St.-Jürgen-Straße 1,28205,1021,354,35,260400015,772995000,53.0745692,8.840024
98,Klinikum Bremen-Nord,Bremen,Hammersbecker Straße 83,28755,2059,668,32,260400037,772828000,53.1839621,8.6228308
99,Klinikum Links der Weser,Bremen,Senator-Weßling-Str. 1,28277,1100,402,37,260400048,772827000,53.0357981,8.8187376
100,DIAKO Ev. Diakonie-Krankenhaus gemeinnützige GmbH,Bremen,Gröpelinger Heerstr.  406,28239,729,199,27,260400071,771615000,53.1258854,8.7453869
101,Krankenhaus St. Joseph-Stift Bremen GmbH,Bremen,Schwachhauser Heerstraße 54,28209,1868,514,28,260400082,772438000,53.0832424,8.8350409
102,Klinikum Bremerhaven-Reinkenheide gGmbH,Bremerhaven,Postbrookstraße 103,27574,1942,565,29,260400184,771101000,53.5377643,8.6367596
103,AGAPLESION ALLGEMEINES KRANKENHAUS HAGEN gem. GmbH,Hagen,Grünstr. 35,58095,1221,480,39,260500481,772088000,51.3540265,7.4660777
104,Herz-Jesu-Krankenhaus Hiltrup GmbH,Münster,Westfalenstr. 109,48165,625,205,33,260501778,771527000,51.908847,7.6344033
105,Universitätsklinikum Düsseldorf,Düsseldorf,Moorenstraße 5,40225,2080,899,43,260510018,773410000,51.1959679,6.7898208
106,"Sana Kliniken Düsseldorf, Standort Benrath",Düsseldorf,Urdenbacher Allee 83,40593,608,191,31,260510029,772276000,51.1532061,6.8710534
107,Marien Hospital Düsseldorf GmbH,Düsseldorf,Rochusstr. 2,40479,1059,175,17,260510096,772246000,51.2359614,6.7855568
108,Florence-Nightingale-Krankenhaus,Düsseldorf,Kreuzbergstraße 79,40489,3167,878,28,260510121,772846000,51.3003594,6.7494709
109,Evangelisches Krankenhaus Düsseldorf,Düsseldorf,Kirchfeldstr. 40,40217,1630,597,37,260510132,773140000,51.2130908,6.7730653
110,Wedau Kliniken,Duisburg,Zu den Rehwiesen 9-11,47055,1707,603,35,260510212,773003000,51.396615,6.7838729
111,Helios St. Johannes Klinik,Duisburg,Dieselstr. 185,47166,961,339,35,260510256,771548000,51.490144,6.7606062
112,Helios Marien Klinik,Duisburg,Grunewaldstr. 96,47053,Datenschutz,Datenschutz,Datenschutz,260510256,771549000,51.4134715,6.7550546
113,Evangelisches Krankenhaus Bethesda zu Duisburg,Duisburg,Heerstraße 219,47053,844,229,27,260510347,773551000,51.4172328,6.7614273
114,Universitätsklinikum Essen (AöR),Essen,Hufelandstr. 55,45147,1252,522,42,260510381,771967000,51.4347062,6.9880092
115,Elisabeth-Krankenhaus Essen,Essen,Klara-Kopp-Weg 1,45138,1177,366,31,260510461,771980000,51.445437,7.0328223
116,Alfried Krupp Krankenhaus Rüttenscheid,Essen,Alfried-Krupp-Straße 21,45131,224,73,33,260510531,771601000,51.426264,7.0076064
117,Helios Klinikum Krefeld,Krefeld,Lutherplatz 40,47805,1799,593,33,260510575,772782000,51.3209451,6.5660868
118,Städtische Kliniken Mönchengladbach GmbH,Mönchengladbach,Hubertusstraße 100,41239,3405,959,28,260510644,772941000,51.1580847,6.4199089
119,Evangelisches Krankenhaus Mülheim an der Ruhr GmbH,Mülheim an der Ruhr,Wertgasse 30,45468,914,295,32,260510746,771889000,51.4245961,6.8824168
120,AMEOS Klinikum St. Clemens Oberhausen,Oberhausen,Wilhelmstraße 34,46145,1050,335,32,260510791,772080000,51.5175112,6.8448097
121,Evangelisches Krankenhaus Oberhausen GmbH,Oberhausen,Virchowstraße 20,46047,2140,757,35,260510815,771679000,51.4744239,6.8662749
122,Sana-Klinikum Remscheid GmbH,Remscheid,Burger Straße 211,42859,1182,378,32,260510826,771259000,51.161546,7.1867887
123,Städtisches Klinikum Solingen gemeinnützige GmbH,Solingen,Gotenstraße 1,42653,1230,479,39,260510871,771176000,51.1854782,7.0694225
124,Helios Universitätsklinikum Wuppertal GmbH,Wuppertal,Heusnerstr. 40,42283,1843,652,35,260510906,772691000,51.2752619,7.173906
125,AGAPLESION BETHESDA KRANKENHAUS WUPPERTAL gemeinnützige GmbH,Wuppertal,Hainstraße 35,42109,1046,247,24,260510940,772234000,51.268337,7.1304659
126,St.-Clemens-Hospital Geldern,Geldern,Clemensstraße 6,47608,1071,368,34,260510984,773026000,51.5280212,6.3273348
127,Katholisches-Karl-Leisner-Klinikum gGmbH  Standort St.-Antonius-Hospital,Kleve,Albersallee 5-7,47533,1252,373,30,260511031,772766000,51.772775,6.1353483
128,St. Josefs Krankenhaus Hilden,Hilden,Walder Straße 34-38,40724,546,204,37,260511097,771411000,51.1681746,6.9430258
129,St. Martinus Krankenhaus,Langenfeld,Klosterstrasse 32,40764,514,194,38,260511111,771247000,51.1301078,6.9425801
130,Evangelisches Krankenhaus Mettmann GmbH,Mettmann,Gartenstr. 4-8,40822,460,149,32,260511144,771265000,51.2505573,6.969992
131,Sankt Marien Krankenhaus,Ratingen,Werdener Straße 3,40878,245,75,31,260511166,771055000,51.3003348,6.8524284
132,Rheinland Klinikum Grevenbroich Elisabethkrankenhaus,Grevenbroich,Von-Werth-Straße 5,41515,Datenschutz,Datenschutz,Datenschutz,260511257,771861000,51.0911123,6.5937321
133,Rheinland Klinikum Dormagen,Dormagen,Dr.-Geldmacher-Straße 20,41540,612,184,30,260511257,771862000,51.0729097,6.8087699
134,Johanna-Etienne-Krankenhaus,Neuss,Am Hasenberg 46,41462,784,296,38,260511280,771507000,51.2150197,6.6600658
135,Hospital zum Heiligen Geist Kempen GmbH & Co. KG,Kempen,von-Broichhausen-Allee 1,47906,547,193,35,260511348,773342000,51.3632544,6.4110946
136,Allgemeines Krankenhaus Viersen GmbH,Viersen,Hoserkirchweg 63,41747,980,324,33,260511428,771955000,51.2514473,6.3828462
137,St. Vinzenz Hospital,Dinslaken,Dr.-Otto-Seidel-Straße 31-33,46535,846,287,34,260511462,771827000,51.5600406,6.7274335
138,St. Josef Krankenhaus GmbH Moers - Betriebsstätte St. Josef Krankenhaus Moers,Moers,Asberger Str. 4,47441,870,273,31,260511509,771226000,51.4454023,6.6410419
139,Krankenhaus Bethanien für die Grafschaft Moers,Moers,Bethanienstr. 21,47441,1568,610,39,260511510,772474000,51.4617039,6.6338422
140,Marien-Hospital gGmbH,Wesel,Pastor-Janßen-Straße 8-38,46483,1358,516,38,260511554,772359000,51.6555381,6.6114467
141,"Krankenhaus Neuwerk ""Maria von den Aposteln"" gGmbH",Mönchengladbach,Dünner Straße 214-216,41066,751,223,30,260511770,772425000,51.2249677,6.4705865
142,Rheinland Klinikum Lukaskrankenhaus Neuss,Neuss,Preußenstraße 84,41464,1959,642,33,260511781,772188000,51.1923506,6.6701165
143, Helios Klinikum Niederberg Tagesklinik für Psychiatrie,Heiligenhaus,Südring 161,42579,Datenschutz,Datenschutz,Datenschutz,260512032,771584000,51.3236292,6.9665863
144,Helios Klinikum Niederberg,Velbert,Robert-Koch-Straße 2,42549,838,260,31,260512032,771585000,51.3507986,7.0129852
145,Helios St. Anna Klinik Duisburg,Duisburg,Albertus-Magnus Straße 33,47259,489,192,39,260513282,772651000,51.3648738,6.7551326
146,Uniklinik RWTH Aachen - Franziskus,Aachen,Morillenhang 27,52074,1282,514,40,260530012,771450000,50.7653801,6.0695337
147,Marienhospital Aachen,Aachen,Zeise 4,52066,663,196,30,260530023,771888000,50.762603,6.0953768
148,Luisenhospital Aachen,Aachen,Boxgraben 99,52064,926,235,25,260530056,772078000,50.7676431,6.076747
149,Universitätsklinikum Bonn,Bonn,Venusberg-Campus 1,53127,2709,1190,44,260530103,772247000,50.7007753,7.101282
150,Gemeinschaftskrankenhaus Bonn St. Elisabeth St. Petrus St. Johannes gGmbH,Bonn,Bonner Talweg 4-6,53113,582,220,38,260530114,772222000,50.7283209,7.0984631
151,GFO Kliniken Bonn - Betriebstätte St. Marien-Hospital,Bonn,Robert-Koch-Strasse 1,53115,2136,629,29,260530192,771851000,50.7178205,7.0946458
152,Johanniter GmbH - Johanniter Krankenhaus Bonn,Bonn,Johanniterstr. 3-5,53113,800,269,34,260530205,771938000,50.7126513,7.1319234
153,Universitätsklinikum Köln,Köln,Kerpener Straße 62,50937,1937,981,51,260530283,773491000,50.9236351,6.9170838
154,Kliniken der Stadt Köln gGmbH - Krankenhaus Holweide,Köln,Neufelder Straße 32,51067,1431,658,46,260530318,772851000,50.96657,7.0561325
155,Heilig Geist-Krankenhaus,Köln,Graseggerstr. 105,50737,1643,425,26,260530396,772936000,50.9916327,6.9253461
156,Krankenhaus der Augustinerinnen,Köln,Jakobstr. 27-31,50678,1974,619,31,260530421,772871000,50.9248385,6.9570677
157,St. Elisabeth-Krankenhaus GmbH,Köln,Werthmannstr. 1,50935,1558,503,32,260530476,772347000,50.9234619,6.8975062
158,Evangelisches Krankenhaus Kalk gGmbH,Köln,Buchforststr. 2,51103,1044,251,24,260530498,771183000,50.9412288,7.0093102
159,Evangelisches Klinikum Köln Weyertal GmbH,Köln,Weyertal 76,50931,1003,290,29,260530502,771243000,50.9275119,6.9256573
160,Krankenhaus Porz am Rhein gGmbH,Köln,Urbacher Weg 19,51149,1466,512,35,260530524,771240000,50.8924708,7.0510026
161,Klinikum Leverkusen gGmbH,Leverkusen,Am Gesundheitspark 11,51375,2141,769,36,260530579,771766000,51.0323417,7.0320199
162,Eifelklinik St. Brigida GmbH & Co. KG,Simmerath,Kammerbruchstraße 8,52152,379,130,34,260530626,772720000,50.6047202,6.3015319
163,Bethlehem Gesundheitszentrum Stolberg,Stolberg,Steinfeldstraße 5,52222,2233,795,36,260530637,771699000,50.772666,6.2289467
164,Krankenhaus Düren gem. GmbH,Düren,Roonstraße 30,52351,753,245,33,260530660,772534000,50.8081239,6.4978758
165,St. Marien-Hospital gGmbH,Düren-Birkesdorf,Hospitalstr. 44,52353,1827,725,40,260530671,771262000,50.8224091,6.466599
166,GFO Klinik Brühl - Marienhospital,Brühl,Mühlenstrasse 21-25,50321,556,176,32,260530751,771641000,50.8273521,6.9006546
167,St.-Katharinen-Hospital GmbH,Frechen,Kapellenstr. 1-5,50226,353,132,37,260530784,772393000,50.9222305,6.8081989
168,Marien-Hospital,Euskirchen,Gottfried-Disse-Straße 40,53879,633,188,30,260530886,771698000,50.6423738,6.7912555
169,Krankenhaus Mechernich,Mechernich,St. Elisabethstraße 2-6,53894,907,330,36,260530900,771848000,50.5925382,6.6512632
170,Hermann-Josef-Krankenhaus,Erkelenz,Tenholter Str. 43,41812,979,323,33,260530966,771574000,51.0751406,6.3139125
171,Städtisches Krankenhaus Heinsberg GmbH,Heinsberg,Auf dem Brand 1,52525,583,222,38,260530999,772072000,51.064924,6.0949779
172,Kreiskrankenhaus Gummersbach,Gummersbach,Wilhelm-Breckow-Allee 20,51643,1062,399,38,260531046,772125000,51.0154919,7.5674469
173,Vinzenz Pallotti Hospital,Bergisch-Gladbach-Bensberg,Vinzenz-Pallotti-Straße 20,51429,1882,491,26,260531159,771642000,50.961996,7.1755471
174,Evangelisches Krankenhaus Bergisch Gladbach gGmbH,Bergisch Gladbach,Ferrenbergstrasse 24,51465,682,246,36,260531160,773200000,50.9897979,7.1373928
175,St. Johannes,Troisdorf - Sieglar,Wilhelm-Busch Str. 9,53844,1314,268,20,260531364,772395000,50.7972446,7.1174131
176,St. Josef Troisdorf,Troisdorf,Hospitalstraße  45,53840,777,181,23,260531364,772396000,50.8176693,7.1594793
177,Helios Klinik Wipperfürth ,Wipperfürth,Alte Kölner Straße 9,51688,606,184,30,260532935,771944000,51.1131661,7.3854849
178,Marienhospital Gelsenkirchen GmbH,Gelsenkirchen,Virchowstr. 122,45886,1704,577,34,260550095,771657000,51.4967408,7.1019635
179,Sankt Marien-Hospital Buer GmbH,Gelsenkirchen,Mühlenstr. 5-9,45894,1010,295,29,260550108,771647000,51.5886917,7.046522
180,Universitätsklinikum Münster,Münster,Domagkstr. 5,48149,940,395,42,260550131,772432000,51.9610826,7.5999013
181,Ludgerus-Kliniken Münster GmbH-Standort Clemenshospital,Münster,Düesbergweg 124,48153,1705,513,30,260550142,772873000,51.9324359,7.6142988
182,St. Marien-Krankenhaus Ahaus,Ahaus,Wüllener Straße 101,48683,680,187,28,260550277,771284000,52.0687896,6.9931916
183,St. Agnes-Hospital Bocholt,Bocholt,Barloer Weg 125,46397,1128,334,30,260550277,771286000,51.8556194,6.6270726
184,St. Marien-Hospital Borken,Borken,Am Boltenhof 7,46325,132,45,34,260550277,771288000,51.841961,6.860559
185,St. Antonius-Hospital Gronau GmbH,Gronau,Möllenweg 22,48599,569,155,27,260550313,771299000,52.2081007,7.0208889
186,"Christophorus Kliniken Coesfeld – Dülmen – Nottuln, Standort Coesfeld",Coesfeld,Südring 41,48653,2386,583,24,260550460,771191000,51.9437116,7.1707741
187,St. Vincenz-Krankenhaus,Datteln,Rottstraße 11,45711,2294,918,40,260550596,771891000,51.6518156,7.3450931
188,"Stiftungsklinikum PROSELIS gGmbH, Standort Prosper-Hospital",Recklinghausen,Mühlenstraße 27,45659,748,248,33,260550701,772358000,51.6063371,7.1923277
189,Klinikum Rheine,Rheine,Frankenburgstrasse 31,48431,2167,626,29,260550905,773430000,52.2761609,7.4258089
190,St. Franziskus-Hospital Ahlen,Ahlen,Robert-Koch-Straße 55,59227,1168,255,22,260550961,772804000,51.767329,7.884784
191,"Klinikum Vest GmbH, Paracelsus-Klinik Marl",Marl,Lipper Weg  11,45770,597,207,35,260551165,772472000,51.6620447,7.1241778
